date,equity
2025-01-02,100000.0
2025-01-03,100000.0
2025-01-06,100000.0
2025-01-07,100000.0
2025-01-08,100000.0
2025-01-10,100000.0
2025-01-13,100000.0
2025-01-14,100000.0
2025-01-15,100000.0
2025-01-16,100000.0
2025-01-17,100000.0
2025-01-21,100000.0
2025-01-22,100000.0
2025-01-23,100000.0
2025-01-24,100000.0
2025-01-27,100000.0
2025-01-28,100000.0
2025-01-29,99677.55
2025-01-30,100018.0
2025-01-31,99843.43
2025-02-03,99805.72
2025-02-04,99826.6
2025-02-05,100151.98
2025-02-06,100323.67
2025-02-07,100661.49
2025-02-10,101114.75
2025-02-11,100896.69
2025-02-12,101536.07
2025-02-13,101607.53
2025-02-14,101438.75
2025-02-18,101731.47
2025-02-19,101758.33
2025-02-20,101465.27
2025-02-21,100950.31
2025-02-24,100799.17
2025-02-25,100518.83
2025-02-26,100331.41
2025-02-27,100168.07
2025-02-28,100441.27
2025-03-03,99978.39
2025-03-04,99618.23
2025-03-05,99934.5
2025-03-06,98208.92
2025-03-07,97722.18
2025-03-10,97317.72
2025-03-11,97014.06
2025-03-12,97083.36
2025-03-13,96870.42
2025-03-14,97127.47
2025-03-17,97276.15
2025-03-18,97127.47
2025-03-19,97312.68
2025-03-20,97480.26
2025-03-21,97668.0
2025-03-24,97752.42
2025-03-25,96060.68
2025-03-26,96212.28
2025-03-27,96297.96
2025-03-28,96032.1
2025-03-31,96045.96
2025-04-01,96062.34
2025-04-02,96252.6
2025-04-03,95666.7
2025-04-04,95007.72
2025-04-07,94732.88
2025-04-08,94732.88
2025-04-09,94732.88
2025-04-10,94732.88
2025-04-11,94732.88
2025-04-14,94732.88
2025-04-15,94732.88
2025-04-16,94732.88
2025-04-17,94732.88
2025-04-21,94732.88
2025-04-22,94732.88
2025-04-23,94732.88
2025-04-24,94732.88
2025-04-25,94732.88
2025-04-28,94732.88
2025-04-29,94732.88
2025-04-30,94732.88
2025-05-01,94732.88
2025-05-02,94732.88
2025-05-05,94732.88
2025-05-06,94732.88
2025-05-07,94732.88
2025-05-08,94732.88
2025-05-09,94732.88
2025-05-12,94732.88
2025-05-13,94732.88
2025-05-14,94732.88
2025-05-15,94732.88
2025-05-16,94732.88
2025-05-19,94732.88
2025-05-20,94732.88
2025-05-21,94732.88
2025-05-22,94732.88
2025-05-23,94732.88
2025-05-27,94732.88
2025-05-28,94732.88
2025-05-29,94732.88
2025-05-30,94732.88
2025-06-02,94732.88
2025-06-03,94732.88
2025-06-04,94880.01
2025-06-05,94940.25
2025-06-06,95673.11
2025-06-09,96092.39
2025-06-10,96434.13
2025-06-11,96258.95
2025-06-12,95997.62
2025-06-13,95841.11
2025-06-16,96136.91
2025-06-17,96034.95
2025-06-18,95568.29
2025-06-20,94670.85
2025-06-23,94423.88
2025-06-24,94672.28
2025-06-25,95210.75
2025-06-26,95632.91
2025-06-27,96184.29
2025-06-30,95849.71
2025-07-01,95763.28
2025-07-02,96298.15
2025-07-03,96451.53
2025-07-07,95899.24
2025-07-08,95445.59
2025-07-09,95905.97
2025-07-10,96100.18
2025-07-11,96590.27
2025-07-14,96867.13
2025-07-15,96928.51
2025-07-16,97068.25
2025-07-17,97229.16
2025-07-18,96383.37
2025-07-21,97231.96
2025-07-22,97425.45
2025-07-23,97289.48
2025-07-24,97619.2
2025-07-25,97790.89
2025-07-28,97669.19
2025-07-29,98243.64
2025-07-30,98178.29
2025-07-31,96735.64
2025-08-01,96026.56
2025-08-04,97124.58
2025-08-05,97046.23
2025-08-06,97339.69
2025-08-07,97410.68
2025-08-08,98321.22
2025-08-11,98236.33
2025-08-12,98704.61
2025-08-13,98480.43
2025-08-14,98637.84
2025-08-15,98837.43
2025-08-18,98730.45
2025-08-19,98385.39
2025-08-20,97954.17
2025-08-21,97942.58
2025-08-22,99078.17
2025-08-25,99767.04
2025-08-26,99833.99
2025-08-27,99808.06
2025-08-28,100121.13
2025-08-29,99809.24
2025-09-02,99832.41
2025-09-03,100686.05
2025-09-04,101282.79
2025-09-05,100815.61
2025-09-08,101012.55
2025-09-09,101497.13
2025-09-10,101655.69
2025-09-11,100773.86
2025-09-12,100745.06
2025-09-15,101002.16
2025-09-16,101074.62
2025-09-17,101402.17
2025-09-18,101190.92
2025-09-19,101375.47
2025-09-22,101693.46
2025-09-23,100880.11
2025-09-24,100480.72
2025-09-25,100097.36
